#class tools::histo::h1d
#title xtal energy deposit histogram
#dimension 1
#axis fixed 2000 0 2
#annotation axis_x.title 
#bin_number 2002
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
6654319,6.65432e+06,6.65432e+06,356.613,0.26316
889368,889368,889368,1343.4,2.10438
1078324,1.07832e+06,1.07832e+06,2705.57,6.87674
1205124,1.20512e+06,1.20512e+06,4225.67,14.9191
836390,836390,836390,3743.8,16.8267
596421,596421,596421,3262.44,17.895
408905,408905,408905,2645.15,17.1449
281084,281084,281084,2099.71,15.7082
201018,201018,201018,1703.36,14.4504
148570,148570,148570,1408.06,13.3572
115144,115144,115144,1206.6,12.6535
92357,92357,92357,1060.54,12.1858
76243,76243,76243,951.794,11.8882
178955,178955,178955,2362.38,31.1992
55322,55322,55322,801.475,11.616
634001,634001,634001,9939.75,155.879
42380,42380,42380,698.867,11.5282
37462,37462,37462,655.325,11.4668
34051,34051,34051,629.678,11.647
30972,30972,30972,603.773,11.7726
28936,28936,28936,592.913,12.1515
26435,26435,26435,568.097,12.2108
24487,24487,24487,550.729,12.3883
22513,22513,22513,528.882,12.4265
21317,21317,21317,522.089,12.7886
19782,19782,19782,504.4,12.8628
18777,18777,18777,497.498,13.1828
17953,17953,17953,493.6,13.5726
16850,16850,16850,480.173,13.6849
16417,16417,16417,484.222,14.2836
15828,15828,15828,482.691,14.7215
15198,15198,15198,478.691,15.0786
14632,14632,14632,475.463,15.4512
14072,14072,14072,471.336,15.7884
13880,13880,13880,478.79,16.517
13625,13625,13625,483.679,17.1715
13753,13753,13753,502.062,18.3292
15649,15649,15649,587.101,22.0275
18363,18363,18363,706.881,27.2128
18073,18073,18073,713.777,28.1915
17484,17484,17484,708.158,28.6841
16931,16931,16931,702.669,29.1635
16568,16568,16568,704.115,29.9252
16032,16032,16032,697.306,30.3304
15823,15823,15823,704.083,31.3312
15513,15513,15513,705.813,32.1145
15140,15140,15140,703.988,32.7357
14740,14740,14740,700.164,33.2597
14642,14642,14642,710.125,34.4417
14530,14530,14530,719.205,35.6004
14194,14194,14194,716.75,36.1947
14207,14207,14207,731.612,37.6767
13709,13709,13709,719.713,37.7855
13382,13382,13382,715.918,38.3017
13461,13461,13461,733.584,39.9792
12966,12966,12966,719.618,39.9401
12880,12880,12880,727.709,41.116
12635,12635,12635,726.446,41.7679
12742,12742,12742,745.361,43.602
12437,12437,12437,739.95,44.025
12337,12337,12337,746.365,45.1547
12256,12256,12256,753.769,46.3594
11980,11980,11980,748.781,46.8017
11913,11913,11913,756.508,48.0413
11747,11747,11747,757.647,48.8669
11882,11882,11882,778.274,50.9782
11548,11548,11548,767.905,51.0641
11320,11320,11320,764.102,51.578
11530,11530,11530,789.765,54.0971
11368,11368,11368,790.089,54.913
11340,11340,11340,799.413,56.3555
11186,11186,11186,799.782,57.1841
10922,10922,10922,791.804,57.4037
10974,10974,10974,806.609,59.2882
10848,10848,10848,808.096,60.198
10858,10858,10858,819.74,61.8883
10583,10583,10583,809.636,61.9408
10802,10802,10802,837.169,64.8825
10797,10797,10797,847.612,66.5422
10958,10958,10958,871.14,69.2548
10616,10616,10616,854.654,68.8058
10836,10836,10836,883.059,71.9641
10690,10690,10690,881.91,72.7572
10518,10518,10518,878.248,73.3342
10418,10418,10418,880.322,74.3882
10517,10517,10517,899.167,76.8765
10704,10704,10704,925.87,80.0864
10555,10555,10555,923.584,80.8164
3971989,3.97199e+06,3.97199e+06,350689,30962.5
10698,10698,10698,957.459,85.6923
10699,10699,10699,968.257,87.6279
10741,10741,10741,982.783,89.9239
10842,10842,10842,1002.89,92.7692
11023,11023,11023,1030.69,96.3736
11045,11045,11045,1043.73,98.6313
11126,11126,11126,1062.55,101.477
11128,11128,11128,1073.86,103.63
11379,11379,11379,1109.44,108.17
11503,11503,11503,1133.05,111.606
11508,11508,11508,1145.11,113.946
11425,11425,11425,1148.21,115.396
11664,11664,11664,1183.85,120.158
11800,11800,11800,1209.51,123.977
11952,11952,11952,1237.05,128.037
11998,11998,11998,1253.79,131.023
12212,12212,12212,1288.4,135.93
12453,12453,12453,1326.23,141.243
12802,12802,12802,1376.27,147.956
13011,13011,13011,1411.71,153.173
13296,13296,13296,1455.96,159.433
13837,13837,13837,1528.96,168.948
14172,14172,14172,1580.15,176.185
14137,14137,14137,1590.41,178.922
14532,14532,14532,1649.35,187.198
14679,14679,14679,1680.76,192.449
14741,14741,14741,1702.61,196.656
15151,15151,15151,1765.16,205.651
15401,15401,15401,1809.67,212.644
15608,15608,15608,1849.51,219.163
15693,15693,15693,1875.39,224.12
16240,16240,16240,1957.01,235.832
16374,16374,16374,1989.44,241.718
16907,16907,16907,2071.14,253.721
13932,13932,13932,1719.6,212.247
8004,8004,8004,996.448,124.052
8087,8087,8087,1014.93,127.376
8258,8258,8258,1044.68,132.158
8224,8224,8224,1048.57,133.695
8422,8422,8422,1082.26,139.074
8531,8531,8531,1104.8,143.077
8580,8580,8580,1119.71,146.125
8691,8691,8691,1142.95,150.31
8747,8747,8747,1158.97,153.564
8906,8906,8906,1188.95,158.726
9113,9113,9113,1225.67,164.849
9128,9128,9128,1236.86,167.598
9227,9227,9227,1259.47,171.917
9596,9596,9596,1319.52,181.444
9530,9530,9530,1319.91,182.81
9948,9948,9948,1387.77,193.598
10134,10134,10134,1423.81,200.045
10424,10424,10424,1475.03,208.723
10878,10878,10878,1550.13,220.897
11351,11351,11351,1628.93,233.76
11899,11899,11899,1719.46,248.471
12908,12908,12908,1878.24,273.304
13922,13922,13922,2039.67,298.828
15110,15110,15110,2228.83,328.768
16705,16705,16705,2480.81,368.419
19803,19803,19803,2960.83,442.686
23639,23639,23639,3558.1,535.562
29614,29614,29614,4487.26,679.934
41028,41028,41028,6258.08,954.559
62944,62944,62944,9664.33,1483.85
106200,106200,106200,16412.9,2536.58
189908,189908,189908,29539.7,4594.83
330044,330044,330044,51666.3,8088.06
518699,518699,518699,81710.8,12872
671840,671840,671840,106493,16880.1
635311,635311,635311,101316,16157.5
497466,497466,497466,79839.6,12813.7
79255,79255,79255,12770.8,2057.82
1213,1213,1213,197.118,32.0327
1290,1290,1290,210.914,34.4842
1268,1268,1268,208.592,34.3146
1257,1257,1257,208.024,34.4265
1251,1251,1251,208.299,34.6831
1297,1297,1297,217.245,36.3883
1298,1298,1298,218.702,36.8494
1225,1225,1225,207.631,35.1926
1307,1307,1307,222.845,37.9954
1331,1331,1331,228.274,39.1504
1312,1312,1312,226.323,39.0413
1303,1303,1303,226.059,39.2193
1319,1319,1319,230.166,40.1643
1358,1358,1358,238.317,41.8228
1320,1320,1320,232.97,41.1174
1368,1368,1368,242.83,43.1044
1399,1399,1399,249.714,44.5727
1355,1355,1355,243.222,43.6585
1386,1386,1386,250.164,45.1531
1445,1445,1445,262.266,47.601
1330,1330,1330,242.725,44.2975
1384,1384,1384,253.972,46.6054
1444,1444,1444,266.425,49.1568
1409,1409,1409,261.373,48.4853
1417,1417,1417,264.27,49.2865
1461,1461,1461,273.943,51.3653
1496,1496,1496,282.022,53.1661
1444,1444,1444,273.629,51.8509
1542,1542,1542,293.757,55.962
1496,1496,1496,286.485,54.8621
1551,1551,1551,298.546,57.4661
1506,1506,1506,291.398,56.3833
1575,1575,1575,306.343,59.5849
1592,1592,1592,311.256,60.8546
1609,1609,1609,316.161,62.1243
1649,1649,1649,325.689,64.3259
1706,1706,1706,338.632,67.2169
1597,1597,1597,318.606,63.5629
1674,1674,1674,335.635,67.2946
1615,1615,1615,325.435,65.5777
1747,1747,1747,353.778,71.6423
1655,1655,1655,336.788,68.5355
1713,1713,1713,350.29,71.6308
1739,1739,1739,357.38,73.4448
1890,1890,1890,390.295,80.5981
1903,1903,1903,394.877,81.9379
1998,1998,1998,416.585,86.8584
1934,1934,1934,405.162,84.8792
1961,1961,1961,412.798,86.8957
2106,2106,2106,445.44,94.2152
2251,2251,2251,478.375,101.663
2258,2258,2258,482.117,102.939
2476,2476,2476,531.106,113.923
2607,2607,2607,561.833,121.08
2885,2885,2885,624.609,135.23
3101,3101,3101,674.523,146.721
3371,3371,3371,736.594,160.953
3933,3933,3933,863.35,189.518
4737,4737,4737,1044.58,230.347
5724,5724,5724,1267.98,280.883
7609,7609,7609,1693.15,376.761
10137,10137,10137,2265.86,506.472
15144,15144,15144,3400.36,763.502
23160,23160,23160,5223.29,1178.01
34300,34300,34300,7770.06,1760.18
50124,50124,50124,11404.6,2594.87
68090,68090,68090,15560.1,3555.83
81657,81657,81657,18741.1,4301.26
82951,82951,82951,19119.7,4406.96
70423,70423,70423,16301.3,3773.36
52506,52506,52506,12206.4,2837.72
26159,26159,26159,6105.77,1425.15
11385,11385,11385,2669.47,625.919
8688,8688,8688,2045.83,481.747
5133,5133,5133,1213.96,287.103
6916,6916,6916,1642.77,390.211
10347,10347,10347,2468.03,588.691
14514,14514,14514,3476.42,832.682
19180,19180,19180,4613.09,1109.52
22245,22245,22245,5372.36,1297.47
22742,22742,22742,5514.83,1337.32
19497,19497,19497,4747.13,1155.83
15003,15003,15003,3667.95,896.748
8385,8385,8385,2057.93,505.079
4252,4252,4252,1047.94,258.272
2633,2633,2633,651.566,161.238
726,726,726,180.278,44.7661
22,22,22,5.48019,1.36511
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
