#class tools::histo::h1d
#title photon kinetic energy histogram
#dimension 1
#axis fixed 2000 0 2
#annotation axis_x.title 
#bin_number 2002
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
277316,277316,277316,0.00695607,6.91246e-06
10382,10382,10382,16.223,0.0259631
20215,20215,20215,51.0082,0.130322
37514,37514,37514,133.336,0.476717
73540,73540,73540,332.953,1.51327
127130,127130,127130,704.539,3.91521
179749,179749,179749,1176.58,7.71671
295473,295473,295473,2222.1,16.7349
404846,404846,404846,3447.71,29.3934
493292,493292,493292,4700.52,44.8312
600655,600655,600655,6315.03,66.4413
696241,696241,696241,8006.03,92.1177
798248,798248,798248,9990.79,125.109
851907,851907,851907,11504.9,155.445
904697,904697,904697,13128.4,190.583
926052,926052,926052,14352.1,222.508
950142,950142,950142,15680.2,258.852
968490,968490,968490,16944.4,296.534
1019247,1.01925e+06,1.01925e+06,18858.5,349.01
990862,990862,990862,19324.4,376.959
977873,977873,977873,20051.3,411.239
962026,962026,962026,20687.9,444.964
963560,963560,963560,21683.8,488.05
987863,987863,987863,23211.5,545.474
995488,995488,995488,24387.1,597.509
1020238,1.02024e+06,1.02024e+06,26014.9,663.435
997051,997051,997051,26426.6,700.514
994962,994962,994962,27358.8,752.377
1018567,1.01857e+06,1.01857e+06,29030.8,827.505
1004925,1.00492e+06,1.00492e+06,29653,875.077
1072074,1.07207e+06,1.07207e+06,32687.3,996.717
1060136,1.06014e+06,1.06014e+06,33403,1052.56
1036580,1.03658e+06,1.03658e+06,33694.2,1095.32
1039421,1.03942e+06,1.03942e+06,34824.2,1166.82
1045290,1.04529e+06,1.04529e+06,36069.5,1244.72
1056254,1.05625e+06,1.05625e+06,37512.2,1332.31
1019704,1.0197e+06,1.0197e+06,37228.4,1359.26
1058388,1.05839e+06,1.05839e+06,39694.1,1488.79
1031907,1.03191e+06,1.03191e+06,39735.4,1530.17
1065510,1.06551e+06,1.06551e+06,42092.6,1662.94
1044683,1.04468e+06,1.04468e+06,42315,1714.06
1046994,1.04699e+06,1.04699e+06,43454.8,1803.65
1015082,1.01508e+06,1.01508e+06,43139.8,1833.48
980984,980984,980984,42677.1,1856.73
993362,993362,993362,44202.8,1967.02
996018,996018,996018,45319.9,2062.19
991063,991063,991063,46088.9,2143.43
934047,934047,934047,44359.4,2106.78
936504,936504,936504,45418.3,2202.76
896229,896229,896229,44362.6,2195.99
941264,941264,941264,47528.1,2399.96
862178,862178,862178,44408.7,2287.45
889377,889377,889377,46681.7,2450.31
860278,860278,860278,46023.1,2462.21
833305,833305,833305,45416.5,2475.35
851198,851198,851198,47243.4,2622.18
778735,778735,778735,43999.9,2486.14
778257,778257,778257,44742.5,2572.34
758541,758541,758541,44376,2596.13
762267,762267,762267,45351.7,2698.3
751821,751821,751821,45481.2,2751.43
716546,716546,716546,44074.7,2711.09
678808,678808,678808,42420.5,2651.02
661642,661642,661642,42012,2667.67
659885,659885,659885,42558.8,2744.86
626679,626679,626679,41048,2688.72
617807,617807,617807,41083.8,2732.1
614699,614699,614699,41484.3,2799.71
587827,587827,587827,40259.3,2757.34
578922,578922,578922,40236.9,2796.64
554753,554753,554753,39108.7,2757.12
529051,529051,529051,37826.4,2704.58
527079,527079,527079,38218.5,2771.26
507549,507549,507549,37298.4,2741
533576,533576,533576,39755.1,2962.08
513260,513260,513260,38747.8,2925.25
485438,485438,485438,37138.9,2841.38
486637,486637,486637,37708.8,2922.04
460186,460186,460186,36122.5,2835.49
471074,471074,471074,37446.4,2976.72
460973,460973,460973,37109.2,2987.39
442214,442214,442214,36034.1,2936.3
431118,431118,431118,35565.6,2934.06
393290,393290,393290,32841.1,2742.38
407247,407247,407247,34415,2908.32
410979,410979,410979,35140.5,3004.7
404475,404475,404475,34989.1,3026.76
372499,372499,372499,32590.4,2851.4
382025,382025,382025,33801.7,2990.82
364760,364760,364760,32643.5,2921.4
373042,373042,373042,33758.7,3055.05
332508,332508,332508,30420.3,2783.09
343886,343886,343886,31811.7,2942.83
342462,342462,342462,32019.6,2993.8
344225,344225,344225,32527.4,3073.69
314135,314135,314135,29995.7,2864.22
320147,320147,320147,30894.5,2981.37
305693,305693,305693,29804.8,2905.97
291966,291966,291966,28760.6,2833.13
295531,295531,295531,29404.2,2925.64
293957,293957,293957,29546.6,2969.84
280026,280026,280026,28426.6,2885.72
286370,286370,286370,29346.8,3007.45
294187,294187,294187,30449.7,3151.7
289136,289136,289136,30219.1,3158.38
267540,267540,267540,28220.2,2976.7
248509,248509,248509,26462.6,2817.91
248037,248037,248037,26665.3,2866.68
238784,238784,238784,25907,2810.81
223480,223480,223480,24469.3,2679.2
240196,240196,240196,26539.4,2932.37
242993,242993,242993,27096.6,3021.61
230724,230724,230724,25951.7,2919.04
227805,227805,227805,25851,2933.55
235993,235993,235993,27024.7,3094.74
221959,221959,221959,25638.1,2961.44
198452,198452,198452,23116.3,2692.68
195281,195281,195281,22945.6,2696.14
222819,222819,222819,26404.1,3128.92
184886,184886,184886,22096.7,2640.9
199188,199188,199188,23999.4,2891.62
182295,182295,182295,22145.6,2690.31
196421,196421,196421,24066.2,2948.69
191269,191269,191269,23618.4,2916.47
175090,175090,175090,21797,2713.53
179870,179870,179870,22570.7,2832.26
188049,188049,188049,23785.5,3008.53
176921,176921,176921,22556.5,2875.86
173079,173079,173079,22242.8,2858.48
160614,160614,160614,20796.6,2692.79
147093,147093,147093,19192.3,2504.16
146388,146388,146388,19253.4,2532.29
164340,164340,164340,21777.3,2885.8
163990,163990,163990,21892.5,2922.64
140335,140335,140335,18881.2,2540.37
154773,154773,154773,20972.6,2841.9
151072,151072,151072,20620.7,2814.66
139225,139225,139225,19145.1,2632.7
140068,140068,140068,19399.9,2686.96
141780,141780,141780,19779.9,2759.52
131734,131734,131734,18509.9,2600.82
143168,143168,143168,20261.6,2867.49
131559,131559,131559,18745.6,2671.05
139803,139803,139803,20056.3,2877.31
124941,124941,124941,18055.5,2609.26
116775,116775,116775,16989.1,2471.69
117654,117654,117654,17233.6,2524.33
122007,122007,122007,17995.6,2654.3
115214,115214,115214,17109.7,2540.88
109754,109754,109754,16405.3,2452.17
122009,122009,122009,18360.6,2763
112153,112153,112153,16990.2,2573.87
98692,98692,98692,15052.6,2295.84
117848,117848,117848,18087.8,2776.21
98468,98468,98468,15214,2350.68
98914,98914,98914,15380.7,2391.64
102688,102688,102688,16070.2,2514.92
106203,106203,106203,16729,2635.15
87739,87739,87739,13907.7,2204.56
95160,95160,95160,15178,2420.89
98760,98760,98760,15849.3,2543.55
97438,97438,97438,15733,2540.36
98293,98293,98293,15974.2,2596.06
98142,98142,98142,16046.8,2623.75
90273,90273,90273,14849.3,2442.62
87375,87375,87375,14460.9,2393.35
74465,74465,74465,12400.3,2064.96
93496,93496,93496,15659.6,2622.84
83822,83822,83822,14127,2380.91
84844,84844,84844,14382,2437.9
74150,74150,74150,12643.6,2155.91
68442,68442,68442,11736.4,2012.57
72488,72488,72488,12505.4,2157.4
63046,63046,63046,10935.3,1896.73
74162,74162,74162,12940.7,2258.08
69076,69076,69076,12119.1,2126.24
66902,66902,66902,11805.3,2083.14
73032,73032,73032,12960.4,2299.99
68864,68864,68864,12290.8,2193.67
75744,75744,75744,13596.5,2440.64
69513,69513,69513,12546.6,2264.58
65674,65674,65674,11919.4,2163.3
55255,55255,55255,10082,1839.58
60131,60131,60131,11031.9,2023.97
66754,66754,66754,12318,2273.04
58535,58535,58535,10857,2013.76
64318,64318,64318,11995.9,2237.36
53701,53701,53701,10065.5,1886.65
54331,54331,54331,10241.6,1930.6
57180,57180,57180,10835.8,2053.44
60510,60510,60510,11528.4,2196.4
55467,55467,55467,10622,2034.11
48978,48978,48978,9426.71,1814.35
59842,59842,59842,11583.2,2242.09
48507,48507,48507,9435.13,1835.24
48806,48806,48806,9542.97,1865.93
52605,52605,52605,10335.9,2030.81
50045,50045,50045,9882.69,1951.6
55068,55068,55068,10932,2170.19
47826,47826,47826,9543.16,1904.24
57056,57056,57056,11441.1,2294.24
48846,48846,48846,9840.32,1982.39
45034,45034,45034,9117.65,1845.98
41546,41546,41546,8454.72,1720.56
42282,42282,42282,8646.19,1768.05
42778,42778,42778,8791.51,1806.79
44445,44445,44445,9178.54,1895.51
41599,41599,41599,8629.98,1790.35
41421,41421,41421,8633.69,1799.59
40861,40861,40861,8561.72,1793.96
33119,33119,33119,6969.97,1466.85
39254,39254,39254,8301.78,1755.73
40110,40110,40110,8525.22,1812.01
40256,40256,40256,8593.19,1834.33
31708,31708,31708,6799.88,1458.26
32440,32440,32440,6989.33,1505.88
39223,39223,39223,8493.23,1839.1
36486,36486,36486,7935.14,1725.77
41269,41269,41269,9018.71,1970.9
38411,38411,38411,8431.21,1850.65
41173,41173,41173,9077.76,2001.45
29908,29908,29908,6624.58,1467.34
39433,39433,39433,8774.03,1952.27
28890,28890,28890,6455.22,1442.37
23214,23214,23214,5211.19,1169.84
31143,31143,31143,7022.27,1583.42
31117,31117,31117,7048.76,1596.72
27118,27118,27118,6169.55,1403.62
26190,26190,26190,5983.42,1366.98
28365,28365,28365,6510.48,1494.32
27671,27671,27671,6378.23,1470.2
23937,23937,23937,5540.39,1282.37
33618,33618,33618,7816.41,1817.37
26688,26688,26688,6230.03,1454.33
34114,34114,34114,7999.96,1876.05
23583,23583,23583,5552.77,1307.44
20946,20946,20946,4952.26,1170.86
31314,31314,31314,7436.83,1766.19
28772,28772,28772,6862.77,1636.93
29699,29699,29699,7110.75,1702.51
23032,23032,23032,5539.25,1332.2
25145,25145,25145,6071.72,1466.13
23916,23916,23916,5799.37,1406.29
26105,26105,26105,6355.91,1547.51
27841,27841,27841,6807.03,1664.3
22548,22548,22548,5535.25,1358.84
23488,23488,23488,5788.33,1426.47
22480,22480,22480,5562.9,1376.6
14299,14299,14299,3554.1,883.396
19959,19959,19959,4979.81,1242.48
21672,21672,21672,5428.05,1359.53
20397,20397,20397,5129.84,1290.15
19444,19444,19444,4909.19,1239.47
28229,28229,28229,7155.28,1813.67
18950,18950,18950,4823.55,1227.79
21622,21622,21622,5523.6,1411.07
20678,20678,20678,5305.24,1361.14
22860,22860,22860,5887.11,1516.1
