#class tools::histo::h1d
#title xtal photon polar angle histogram
#dimension 1
#axis fixed 180 0 3.14159
#annotation axis_x.title 
#bin_number 182
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
2,2,2,3.40684,5.80335
9,9,9,15.4744,26.6066
15,15,15,26.0518,45.247
27,27,27,47.3122,82.9061
25,25,25,44.2883,78.4589
21,21,21,37.5973,67.3128
18,18,18,32.5314,58.7944
21,21,21,38.2692,69.74
26,26,26,47.8875,88.2012
25,25,25,46.4669,86.3675
27,27,27,50.6214,94.9089
15,15,15,28.3741,53.673
16,16,16,30.6071,58.5499
17,17,17,32.7428,63.0644
19,19,19,36.9833,71.9883
14,14,14,27.4652,53.8813
17,17,17,33.6425,66.5779
19,19,19,37.9697,75.8794
11,11,11,22.1802,44.724
16,16,16,32.5672,66.2894
17,17,17,34.8507,71.4456
12,12,12,24.8525,51.4709
16,16,16,33.3523,69.5237
14,14,14,29.4243,61.8423
14,14,14,29.6705,62.882
9,9,9,19.2616,41.2233
13,13,13,28.0232,60.4081
15,15,15,32.6156,70.919
11,11,11,24.0676,52.6592
12,12,12,26.5029,58.5339
12,12,12,26.6869,59.3494
11,11,11,24.6913,55.4237
6,6,6,13.5645,30.6661
14,14,14,31.8848,72.6178
5,5,5,11.4746,26.3335
10,10,10,23.1044,53.3813
6,6,6,13.9781,32.5645
10,10,10,23.4543,55.0107
11,11,11,26.0498,61.6903
12,12,12,28.5928,68.1293
10,10,10,24.0037,57.6178
13,13,13,31.4465,76.068
14,14,14,34.0485,82.8076
14,14,14,34.3543,84.3016
5,5,5,12.3518,30.5135
7,7,7,17.4055,43.279
8,8,8,20.0365,50.1829
5,5,5,12.6049,31.7768
9,9,9,22.8361,57.9433
7,7,7,17.8837,45.6897
10,10,10,25.739,66.2498
9,9,9,23.326,60.4558
10,10,10,26.0897,68.0677
11,11,11,28.8672,75.756
5,5,5,13.2372,35.045
7,7,7,18.6396,49.6335
5,5,5,13.3816,35.8137
6,6,6,16.1889,43.6803
5,5,5,13.5571,36.7593
4,4,4,10.9118,29.7667
4,4,4,10.9927,30.21
3,3,3,8.29256,22.9223
6,6,6,16.6717,46.3246
8,8,8,22.3764,62.5879
6,6,6,16.9292,47.7663
5,5,5,14.1811,40.2208
5,5,5,14.2856,40.8159
2,2,2,5.73445,16.442
5,5,5,14.4767,41.9148
3,3,3,8.70439,25.2556
3,3,3,8.76538,25.6107
2,2,2,5.87916,17.2823
3,3,3,8.88061,26.2884
2,2,2,5.93709,17.6245
2,2,2,5.98989,17.9394
3,3,3,9.04092,27.2461
1,1,1,3.02551,9.1537
2,2,2,6.09134,18.5522
1,1,1,3.0663,9.40218
1,1,1,3.07279,9.44203
1,1,1,3.09835,9.59976
2,2,2,6.22039,19.3466
0,0,0,0,0
0,0,0,0,0
