#class tools::histo::h1d
#title xtal photon polar angle histogram
#dimension 1
#axis fixed 180 0 3.14159
#annotation axis_x.title 
#bin_number 182
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
1,1,1,0.0665568,0.0044298
0,0,0,0,0
0,0,0,0,0
5,5,5,0.556444,0.0620421
1,1,1,0.13378,0.0178972
3,3,3,0.449065,0.0672819
3,3,3,0.486255,0.0788287
4,4,4,0.733448,0.134608
8,8,8,1.61077,0.324469
7,7,7,1.52392,0.331862
9,9,9,2.11274,0.49611
5,5,5,1.28678,0.331245
8,8,8,2.1479,0.57678
4,4,4,1.13719,0.32335
6,6,6,1.83441,0.561037
7,7,7,2.27179,0.737378
12,12,12,4.09951,1.40074
11,11,11,3.94558,1.41548
9,9,9,3.36015,1.25476
10,10,10,3.93623,1.5497
4,4,4,1.64998,0.680674
8,8,8,3.40227,1.44708
6,6,6,2.68216,1.19906
10,10,10,4.5927,2.1095
12,12,12,5.75006,2.75571
9,9,9,4.49453,2.24479
11,11,11,5.64662,2.89894
6,6,6,3.17001,1.67495
5,5,5,2.75571,1.5189
17,17,17,9.60436,5.42642
15,15,15,8.79623,5.15856
8,8,8,4.83996,2.92826
13,13,13,8.05582,4.99223
8,8,8,5.064,3.20571
11,11,11,7.19034,4.70053
9,9,9,6.0234,4.0315
14,14,14,9.66855,6.67749
16,16,16,11.3062,7.98979
16,16,16,11.6212,8.44109
7,7,7,5.18186,3.83606
20,20,20,15.1891,11.5362
7,7,7,5.44057,4.22878
16,16,16,12.6968,10.0758
18,18,18,14.6032,11.8479
7,7,7,5.77969,4.77227
16,16,16,13.516,11.418
15,15,15,12.9643,11.2051
15,15,15,13.2269,11.6637
10,10,10,8.98242,8.06859
9,9,9,8.23608,7.53721
23,23,23,21.5035,20.1048
11,11,11,10.443,9.91441
9,9,9,8.69439,8.39933
9,9,9,8.87104,8.74422
13,13,13,13.0744,13.1496
7,7,7,7.13848,7.27988
18,18,18,18.7031,19.4341
12,12,12,12.6924,13.425
12,12,12,12.8971,13.8617
10,10,10,10.9032,11.8881
15,15,15,16.6179,18.4109
12,12,12,13.5084,15.2067
11,11,11,12.5469,14.3116
12,12,12,13.9175,16.1418
9,9,9,10.618,12.5272
13,13,13,15.5304,18.5539
13,13,13,15.7836,19.1634
10,10,10,12.2892,15.1027
15,15,15,18.7123,23.3436
12,12,12,15.1562,19.1428
15,15,15,19.2077,24.5959
16,16,16,20.8141,27.0771
8,8,8,10.5407,13.8883
8,8,8,10.6823,14.2642
13,13,13,17.5961,23.8174
16,16,16,21.9065,29.9937
7,7,7,9.72936,13.5231
12,12,12,16.8519,23.6658
12,12,12,17.0594,24.2521
3,3,3,4.32344,6.2308
10,10,10,14.5353,21.1277
5,5,5,7.37436,10.8764
7,7,7,10.445,15.5855
5,5,5,7.52318,11.3197
5,5,5,7.63463,11.6576
5,5,5,7.7288,11.9469
7,7,7,10.9243,17.0489
5,5,5,7.89933,12.48
6,6,6,9.59673,15.3497
0,0,0,0,0
2,2,2,3.27282,5.35568
3,3,3,4.95293,8.17725
10,10,10,16.703,27.8991
7,7,7,11.7806,19.8264
13,13,13,22.1493,37.7379
57,57,57,98.0451,168.648
100,100,100,173.652,301.554
150,150,150,263.145,461.639
148,148,148,262.09,464.134
128,128,128,229,409.697
125,125,125,225.89,408.214
132,132,132,240.728,439.019
108,108,108,198.773,365.842
112,112,112,208.171,386.926
125,125,125,234.467,439.803
110,110,110,208.281,394.377
121,121,121,231.195,441.746
134,134,134,258.376,498.197
115,115,115,223.811,435.579
124,124,124,243.468,478.04
104,104,104,206.03,408.161
106,106,106,211.845,423.383
113,113,113,227.762,459.079
116,116,116,235.922,479.822
107,107,107,219.43,450
123,123,123,254.469,526.461
98,98,98,204.378,426.229
111,111,111,233.34,490.523
109,109,109,231.193,490.371
93,93,93,198.812,425.014
111,111,111,239.301,515.905
118,118,118,256.559,557.82
91,91,91,199.279,436.401
115,115,115,253.909,560.611
108,108,108,240.401,535.12
96,96,96,215.343,483.052
94,94,94,212.467,480.241
92,92,92,209.564,477.364
87,87,87,199.607,457.966
93,93,93,215.005,497.067
85,85,85,198.066,461.532
92,92,92,215.883,506.585
104,104,104,245.997,581.873
90,90,90,214.382,510.667
90,90,90,216.048,518.631
88,88,88,212.806,514.619
81,81,81,197.167,479.936
80,80,80,196.236,481.36
101,101,101,249.384,615.771
71,71,71,176.643,439.476
82,82,82,205.357,514.286
82,82,82,206.704,521.059
79,79,79,200.659,509.672
78,78,78,199.399,509.743
55,55,55,141.606,364.59
60,60,60,155.44,402.692
58,58,58,151.308,394.729
74,74,74,194.319,510.268
52,52,52,137.53,363.742
56,56,56,149.05,396.717
71,71,71,190.193,509.485
50,50,50,134.843,363.653
48,48,48,130.302,353.725
54,54,54,147.478,402.774
57,57,57,156.719,430.895
36,36,36,99.5801,275.451
47,47,47,130.798,364.005
48,48,48,134.389,376.261
41,41,41,115.574,325.789
35,35,35,99.2629,281.519
38,38,38,108.489,309.734
31,31,31,89.0285,255.68
33,33,33,95.3707,275.625
27,27,27,78.4694,228.054
26,26,26,76.0451,222.418
19,19,19,55.8755,164.32
31,31,31,91.7202,271.375
24,24,24,71.4093,212.471
23,23,23,68.874,206.245
21,21,21,63.2412,190.451
15,15,15,45.4133,137.492
7,7,7,21.3029,64.8305
9,9,9,27.5838,84.5409
2,2,2,6.15511,18.9428
3,3,3,9.29164,28.7782
3,3,3,9.34074,29.0832
0,0,0,0,0
0,0,0,0,0
