#class tools::histo::h1d
#title xtal photon polar angle histogram
#dimension 1
#axis fixed 180 0 3.14159
#annotation axis_x.title 
#bin_number 182
entries,Sw,Sw2,Sxw0,Sx2w0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
20,20,20,34.1046,58.1566
93,93,93,159.981,275.205
170,170,170,295.275,512.87
237,237,237,415.746,729.31
237,237,237,419.71,743.282
246,246,246,440.076,787.27
222,222,222,401.111,724.736
211,211,211,384.805,701.784
202,202,202,371.833,684.458
178,178,178,330.86,614.997
223,223,223,418.291,784.613
189,189,189,357.878,677.66
183,183,183,349.753,668.459
201,201,201,387.566,747.307
176,176,176,342.531,666.639
186,186,186,365.22,717.131
141,141,141,279.248,553.051
190,190,190,379.76,759.045
172,172,172,346.703,698.859
148,148,148,300.915,611.827
145,145,145,297.334,609.711
154,154,154,318.558,658.958
131,131,131,273.196,569.746
133,133,133,279.582,587.717
139,139,139,294.787,625.178
123,123,123,262.974,562.242
149,149,149,321.202,692.424
142,142,142,308.691,671.062
121,121,121,264.949,580.15
150,150,150,331.211,731.343
130,130,130,289.363,644.087
108,108,108,242.25,543.382
108,108,108,244.107,551.744
103,103,103,234.572,534.217
96,96,96,220.267,505.394
98,98,98,226.56,523.773
100,100,100,232.958,542.698
109,109,109,255.807,600.346
112,112,112,264.921,626.636
104,104,104,247.714,590.024
98,98,98,235.214,564.549
96,96,96,232.106,561.181
90,90,90,219.081,533.298
87,87,87,213.366,523.28
106,106,106,261.723,646.218
80,80,80,199.033,495.178
91,91,91,227.911,570.808
91,91,91,229.389,578.234
80,80,80,203.183,516.043
70,70,70,178.917,457.305
58,58,58,149.307,384.357
70,70,70,181.328,469.716
62,62,62,161.743,421.951
80,80,80,210.08,551.673
55,55,55,145.459,384.699
63,63,63,167.688,446.339
72,72,72,192.879,516.699
49,49,49,132.138,356.339
48,48,48,130.318,353.807
56,56,56,152.944,417.715
55,55,55,151.214,415.739
38,38,38,105.145,290.934
48,48,48,133.593,371.816
49,49,49,137.192,384.115
44,44,44,124.022,349.579
36,36,36,102.105,289.598
37,37,37,105.645,301.648
28,28,28,80.411,230.926
35,35,35,101.15,292.322
27,27,27,78.4794,228.112
25,25,25,73.1107,213.808
19,19,19,55.8665,164.267
31,31,31,91.7334,271.453
21,21,21,62.4851,185.924
21,21,21,62.8729,188.239
22,22,22,66.2496,199.501
14,14,14,42.3921,128.364
7,7,7,21.3029,64.8305
9,9,9,27.5838,84.5409
2,2,2,6.15511,18.9428
3,3,3,9.29164,28.7782
3,3,3,9.34074,29.0832
0,0,0,0,0
0,0,0,0,0
